Category,Bahasa,Cleaned_Bahasa,Length,Count
ham,"Oke, aku periksa lagi apakah penata rambut sudah dia bilang akan potong pendek. Katanya akan dipotong sampai aku terlihat bagus.
",oke periksa tata rambut bilang potong pendek potong bagus,57,9
spam,"Sebagai pelanggan yang berharga, saya dengan senang hati memberi tahu Anda bahwa setelah peninjauan terbaru terhadap Nomor Mob Anda, Anda akan diberikan Hadiah Bonus £1500, hubungi 09066364589
",langgan harga senang hati tinjau baru nomor mob hadiah bonus 1500 hubung 09066364589,84,13
ham,"Hari ini adalah ""hari dedikasi lagu.."" Lagu manakah yang akan kamu persembahkan untukku? Kirimkan ini ke semua temanmu yang berharga, tapi pertama-tama, balas aku...
",dedikasi lagu lagu mana sembah untuk kirim teman harga balas,60,10
spam,"UR yang mendesak diberikan perjalanan gratis ke EuroDisinc Trav, Aco&Entry41 Atau £1000. Untuk mengklaim txt DIS ke 87121 18+6*£1,50(moreFrmMob.ShrAcomOrSglSuplt)10, LS1 3AJ
",ur desak jalan gratis eurodisinc trav aco entry41 1000 klaim txt dis 87121 18 6 1 50 morefrmmob shracomorsglsuplt 10 ls1 3aj,124,22
spam,"Pernahkah Anda mendengar tentang ""Barbie Perceraian"" yang baru? Itu datang dengan semua barang Ken!
",pernah dengar barbie cerai barang ken,37,6
ham,"Saya berencana untuk memberi pada akhir bulan ini.
",rencana,7,1
ham,"Wah beruntungnya kawan... Nanti bisa hemat... Hee...
",untung kawan hemat hee,22,4
ham,"Selesai kelas dimana kamu.
",selesai kelas mana,18,3
ham,"HI SAYANG AKU DI RUMAH SEKARANG INGIN MELAKUKAN SESUATU? XX
",hi sayang rumah xx,18,4
ham,"K..k :) dimana kamu? bagaimana penampilanmu?
",k k mana tampil,15,4
ham,"Kamu bisa meneleponku sekarang...
",telepon,7,1
ham,"aku menunggu Machan. Hubungi saya setelah Anda bebas.
",tunggu machan hubung bebas,26,4
ham,"Itu keren. saya seorang pria terhormat dan akan memperlakukan Anda dengan bermartabat dan hormat.
",keren pria hormat laku martabat hormat,38,6
ham,"Aku sangat menyukai kalian :) tapi aku sangat pemalu pa.
",suka malu pa,12,3
ham,"Tidak beroperasi setelah &lt;#&gt;  atau apa
",operasi lt gt,13,3
ham,"Ini tidak sama di sini. Masih mencari pekerjaan. Berapa penghasilan Ta di sana.
",cari kerja hasil ta,19,4
ham,"Maaf, saya akan menelepon lagi nanti
",maaf telepon,12,2
ham,"K. Apakah kamu baru saja meneleponku ah? 
",k telepon ah,12,3
ham,"Oke, aku sedang dalam perjalanan pulang, hai, hai
",oke jalan pulang hai hai,24,5
ham,"Anda akan berada di tempat pria itu
",pria,4,1
ham,"Yup perhentian berikutnya.
",yup henti,9,2
ham,"Saya menelepon Anda nanti, tidak memiliki jaringan. Jika mendesak, sms saya.
",telepon milik jaring desak sms,30,5
ham,"Sebenarnya kapan kamu mendekatimu? Saya hanya perlu 2 tiket lagi dan satu jaket lagi dan selesai. Saya sudah menggunakan semua multis saya.
",dekat 2 tiket jaket selesai multis,34,6
ham,"Ya, saya mulai mengirim permintaan untuk melakukannya tetapi rasa sakit kembali muncul jadi saya kembali ke tempat tidur. Koin ganda di pabrik juga. Aku harus menguangkan semua nitroku.
",ya kirim minta laku sakit muncul tidur koin ganda pabrik uang nitroku,69,12
ham,"Aku benar-benar belum sanggup melakukannya malam ini sayang
",benar sanggup laku malam sayang,31,5
ham,"Ela kano., atau unduh, ayo gratis..
",ela kano unduh ayo gratis,25,5
ham,"Ya, lakukan! Jangan berdiri untuk menutupnya- kamu akan menangkap sesuatu!
",ya laku diri menutupnya- tangkap,32,5
ham,"Maaf merepotkan. Bolehkah kita bertemu satu malam lagi? Aku menghabiskan sore hari sebagai korban dan itu berarti aku belum melakukan hal apa pun dan itu termasuk semua lembar waktuku dan itu. Maaf. 
",maaf repot temu malam habis sore korban lembar waktu maaf,57,10
ham,"Tersenyumlah dalam Kesenangan Tersenyumlah dalam Kepedihan Tersenyumlah ketika masalah datang seperti Hujan Tersenyumlah ketika jumlah1 Menyakitimu Tersenyumlah karena SESEORANG masih Senang melihatmu Tersenyum!!
",senyum senang senyum pedih senyum hujan senyum jumlah1 sakit senyum senang lihat senyum,87,13
spam,"Silakan hubungi perwakilan layanan pelanggan kami di 0800 169 6031 antara pukul 10.00-21.00 karena Anda telah MENANGKAN jaminan uang tunai £1000 atau hadiah £5000!
",sila hubung wakil layan langgan 0800 169 6031 10 00-21 00 menang jamin uang tunai 1000 hadiah 5000,98,18
ham,"Belum berencana untuk membeli nanti. Saya periksa sudah lido hanya mendapat 530 pertunjukan di sore hari. Kamu sudah selesai bekerja?
",rencana beli periksa lido 530 tunjuk sore selesai,49,8
spam,"Nada dering gratis Anda menunggu untuk dikumpulkan. Cukup kirimkan kata sandi ""MIX"" ke 85069 untuk memverifikasi. Hubungi Usher dan Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16
",nada dering gratis tunggu kumpul kirim sandi mix 85069 verifikasi hubung usher britney fml po box 5249 mk17 92h 450ppw 16,121,21
ham,"Menonton film telugu..apa tentang kamu?
",tonton film tugu,16,3
ham,"jadi begitu. Ketika kami selesai, kami memiliki banyak pinjaman yang harus dibayar
",selesai milik pinjam bayar,26,4
ham,"Hai. Apa baik-baik saja - selamat tinggal sekarang! Ya, untuk berlari sebentar. Lupa kalau aku ada janji penata rambut jam empat jadi harus pulang dan mandi terlebih dahulu. Apakah itu menimbulkan masalah bagimu?""
",hai baik - selamat tinggal ya lari sebentar lupa janji tata rambut jam pulang mandi timbul bagi,95,17
ham,"Saya melihat animasi secangkir kopi
",animasi cangkir kopi,20,3
ham,"Tolong jangan kirimi aku pesan lagi. Saya tidak punya hal lain untuk dikatakan.
",tolong kirim pesan,18,3
ham,"Oke sebutkan harganya asalkan legal! Bisakah aku mengambilnya? Kamu sudah x ams xx
",oke sebut harga legal ambil x ams xx,36,8
ham,"Saya masih mencari mobil untuk dibeli. Dan belum mengikuti tes mengemudi.
",cari mobil beli ikut tes kemudi,31,6
ham,"Wow. Anda benar! Saya tidak bermaksud melakukan itu. Saya kira begitu saya menyerah pada boston men dan mengubah lokasi pencarian saya ke nyc, sesuatu berubah. Karena di halaman masuk saya masih tertulis boston.
",wow serah boston men ubah lokasi cari nyc ubah halaman masuk tulis boston,73,13
ham,"Umma hidupku dan vava umma sangat mencintaimu sayang
",umma hidup vava umma cinta sayang,33,6
ham,"Terima kasih banyak atas ucapanmu di hari ulang tahunku. Terima kasih telah membuat ulang tahunku benar-benar berkesan.
",terima kasih ucap ulang tahun terima kasih ulang tahun benar kesan,66,11
ham,"Baiklah, aku akan menghubungimu ketika aku mendapat uang tunai
",baik hubung uang tunai,22,4
ham,"Bagaimana alamat ip saya mengujinya mengingat komputer saya bukan server minecraft
",alamat ip uji komputer server minecraft,39,6
ham,"Aku tahu! Orang tua yang pemarah. Ibuku bilang sebaiknya kamu tidak berbohong. Lagipula akulah yang selalu bercanda...
",orang tua marah ibu bilang bohong lagipula canda,48,8
ham,"Jangan khawatir. Kurasa dia sedang sibuk.
",khawatir rasa sibuk,19,3
ham,"Apa bentuk jamak dari kata benda penelitian?
",bentuk jamak benda teliti,25,4
ham,"Pergi makan malam, kirim pesan padamu setelahnya.
",pergi makan malam kirim pesan pada telah,40,7
ham,"Aku baik-baik saja karena aku suka mencoba hal-hal baru. Tapi aku membuatmu takut, tidak seperti Mah. Karena kamu bilang jangan terlalu keras.
",baik suka coba hal buat takut mah bilang keras,46,9
spam,"GENT! Kami mencoba menghubungi Anda. Pengundian akhir pekan lalu menunjukkan bahwa Anda memenangkan hadiah £1000 DIJAMIN. Hubungi 09064012160. Kode Klaim K52. Hanya berlaku 12 jam. 150ppm
",gent coba hubung undi pekan menang hadiah 1000 jamin hubung 09064012160 kode klaim k52 laku 12 jam 150ppm,105,18
ham,"Wa, kalimat pembukamu sangat formal... Pokoknya, aku juga baik-baik saja, tapi aku makan terlalu banyak dan menambah berat badan...Haha... Jadi, ada hal istimewa yang terjadi?
",wa kalimat buka formal pokok baik makan tambah berat badan haha istimewa,72,12
ham,"Saat saya memasuki kabin, PA saya berkata, ''Selamat Ulang Tahun Bos!!''. Saya merasa istimewa. Dia mengajakku makan siang jam 4. Setelah makan siang dia mengundang saya ke apartemennya. Kami pergi ke sana.
",pasuk kabin pa selamat ulang bos istimewa ajak makan siang jam 4 makan siang undang apartemen pergi,99,17
spam,"Anda adalah pemenang Anda telah dipilih secara khusus 2 menerima £1000 atau liburan 4* (penerbangan inc) berbicara dengan operator langsung 2 klaim 0871277810910p/mnt (18+) 
",menang pilih khusus 2 terima 1000 libur 4 terbang inc bicara operator langsung 2 klaim 0871277810910p mnt 18,108,18
ham,"Bagus! Ya, kita harus berbicara pada hari Jumat - diperlukan rasio telur-kentang untuk tortilla! 
",bagus ya bicara jumat - rasio telur-kentang tortilla,52,8
ham,"Hmm...pamanku baru saja memberitahuku bahwa dia membayar biaya sekolah secara langsung. Jadi tolong beli makanan.
",hmm paman memberitahuku bayar biaya sekolah langsung tolong beli makan,70,10
spam,"PRIBADI! Laporan Rekening Anda tahun 2004 untuk 07742676969 menunjukkan 786 Poin Bonus yang belum ditukarkan. Untuk klaim hubungi 08719180248 Kode Pengenal : 45239 Kedaluwarsa
",pribadi lapor rekening 2004 07742676969 786 poin bonus tukar klaim hubung 08719180248 kode kenal 45239 kedaluwarsa,114,16
spam,"MENDESAK! Nomor Ponsel Anda dianugerahi Hadiah Bonus Penelepon £2000 pada 5/9/03 Ini adalah upaya terakhir kami untuk menghubungi Anda! Telepon dari Telepon Rumah 09064019788 BOX42WR29C, 150PPM
",desak nomor ponsel anugerah hadiah bonus telepon 2000 5 9 03 upaya hubung telepon telepon rumah 09064019788 box42wr29c 150ppm,125,19
ham,"ini alamat baruku -apel&pasangan&semua omong kosong itu
",alamat baru -apel pasang omong kosong,37,6
spam,"Nomor Voda hari ini yang berakhiran 7548 dipilih untuk menerima penghargaan $350. Jika Anda memiliki kecocokan silakan hubungi 08712300220 dengan mengutip kode klaim 4041 tarif standar aplikasi
",nomor voda akhir 7548 pilih terima harga  350 milik cocok sila hubung 08712300220 kutip kode klaim 4041 tarif standar aplikasi,126,20
ham,"Saya akan ke sao mu hari ini. Hanya akan dilakukan pada jam 12 
",sao mu jam 12,13,4
ham,"Ü memperkirakan jam berapa ü akan selesai membeli?
",jam selesai beli,16,3
ham,"Barang bagus, cukup.
",barang bagus,12,2
ham,"Apakah kamu di sana, di kamar.
",kamar,5,1
ham,"HEI GADIS. BAGAIMANA KAMU? HARAPAN KAMU BAIK AKU DAN DEL R BAK! LAGI LAMA WAKTU TIDAK C! BERIKAN SAYA WAKTU PANGGILAN DARI LUCYxx
",hei gadis harap del r bak c panggil lucyxx,42,9
ham,"K..k :) berapa biayanya?
",k k biaya,9,3
ham,"saya pulang.
",pulang,6,1
ham,"Sayang, aku akan menghubungi Tmorrow.pls untuk mengakomodasi.
",sayang hubung tmorrow pls akomodasi,35,5
ham,"Jawab dulu pertanyaanku.
",tanya,5,1
spam,"Kuis Sinar Matahari Mingguan Q! Menangkan pemutar DVD Sony terbaik jika Anda tahu di negara mana Algarve berada? Kirim SMS ke 82277. £1,50 SP: Tyrone
",kuis sinar matahari minggu q menang putar dvd sony baik negara algarve kirim sms 82277 1 50 sp tyrone,101,19
spam,"Ingin 2 bercinta malam ini? Ingin lokasi Dogging asli dikirim langsung ke 2 gerombolan Anda? Bergabunglah dengan Jaringan Dogging terbesar di Inggris dengan Txting GRAVEL ke 69888! tidak. ec2a. 31p.msg@150p
",2 cinta malam lokasi dogging asli kirim langsung 2 gerombol gabung jaring dogging besar inggris txting gravel 69888 ec2a 31p msg 150p,133,22
ham,"Saya hanya punya satu msn. Ini yijue@hotmail.com
",msn yijue hotmail com,21,4
ham,"Dia ada di sana. Anda menelepon dan menemuinya
",telepon temu,12,2
ham,"Tidak, tidak. Saya akan memeriksa semua ruangan sebelum beraktivitas
",periksa ruang aktivitas,23,3
spam,"Anda tidak akan menerima pesan apa pun lagi dari obrolan svc. Untuk layanan Tegar GRATIS, SMS BUKA ke: 69988 Jika Anda tidak mendapatkan apa pun, Anda harus Verifikasi Usia dengan jaringan Anda & coba lagi
",terima pesan obrol svc layan tegar gratis sms buka 69988 verifikasi usia jaring coba,84,14
ham,"Punya c... Aku malas mengetik... Aku lupa ü di lect... Aku melihat sebuah kantong tapi sepertinya tidak bagus...
",c malas etik lupa lect kantong bagus,36,7
ham,"K, kirimi aku pesan saat kamu dalam perjalanan
",k kirim pesan jalan,19,4
ham,"Pak, Menunggu surat Anda.
",tunggu surat,12,2
ham,"Swt berpikir: ""Jangan pernah bosan melakukan hal-hal kecil 4 orang yang dicintai.."" Karena..terkadang hal-hal kecil itu menempati bagian terbesar di Hati mereka.. Gud ni8
",swt pikir bosan hal 4 orang cinta terkadang hal tempat besar hati gud ni8,73,14
ham,"Aku tahu kamu memang begitu. Bisakah Anda membuka bagian belakangnya?
",buka belakang,13,2
ham,"Ya sampai jumpa, jangan langsung
",ya jumpa langsung,17,3
ham,"Siapa nama staf yang mengambil kelas untuk kita?
",nama staf ambil kelas,21,4
spam,"FreeMsg Kenapa kamu belum membalas SMSku? Saya Randy, seksi, perempuan dan tinggal lokal. Senang mendengar kabar darimu. Netcollex Ltd 08700621170150p per pesan balasan Berhenti untuk mengakhiri
",freemsg balas smsku randy seksi perempuan tinggal lokal senang dengar kabar dari netcollex ltd 08700621170150p pesan balas henti,128,18
ham,"Ummma.akan menelepon setelah check-in. hidup kita akan dimulai dari qatar jadi mohon berdoa dengan sungguh-sungguh.
",ummma telepon check-in hidup qatar mohon doa sungguh,52,8
ham,"K..saya menghapus kontak saya, itu sebabnya?
",k hapus kontak,14,3
ham,"Sindu mendapat pekerjaan di birla soft ..
",sindu kerja birla soft,22,4
ham,"Anggurnya mengalir dan aku belum pernah..
",anggur alir,11,2
ham,"Yup menurutku filmnya lebih bagus karena tidak perlu 2 turun 2 plaza mah.
",yup turut film bagus 2 turun 2 plaza mah,40,9
ham,"Oke... Balasan khas Anda...
",oke balas khas,14,3
ham,"Aaoooo benarkah kamu sedang bekerja?
",aaoooo,6,1
ham,"aku akan meninggalkan rumahku sekarang...
",tinggal rumah,13,2
ham,"Halo sayangku. Apa yang sedang kamu lakukan? Apakah Anda menghadiri wawancara itu hari ini? Apakah kamu bahagia? Apakah kamu menjadi anak yang baik? Apakah kamu memikirkanku? Apakah kamu merindukanku?
",halo sayang laku hadir wawancara bahagia anak pikir rindu,57,9
spam,"Pengumuman layanan pelanggan. Anda memiliki kiriman Tahun Baru yang menunggu Anda. Silakan hubungi 07046744435 sekarang untuk mengatur pengiriman
",umum layan langgan milik kirim tunggu sila hubung 07046744435 atur kirim,72,11
spam,"Anda adalah pemenang Anda telah dipilih secara khusus 2 menerima uang tunai £1000 atau liburan 4* (penerbangan inc) berbicara dengan operator langsung 2 klaim 0871277810810
",menang pilih khusus 2 terima uang tunai 1000 libur 4 terbang inc bicara operator langsung 2 klaim 0871277810810,111,18
ham,"Jaga dirimu tetap aman untukku karena aku membutuhkanmu dan aku sudah merindukanmu dan aku iri pada semua orang yang melihatmu di kehidupan nyata
",jaga diri aman untuk butuh rindu iri orang lihat hidup nyata,60,11
ham,"Mobil dan rumah baru untuk orang tua saya. :) Saya hanya punya pekerjaan baru :)
",mobil rumah orang tua kerja,27,5
ham,"Aku sangat mencintaimu. Aku senang setiap hari yang kuhabiskan bersamamu. Kamu membuatku sangat bahagia.
",cinta senang habis sama buat bahagia,36,6
spam,"-PLS STOP bootydelious (32/P) mengundang Anda untuk menjadi temannya. Jawab YA-434 atau TIDAK-434 Lihat dia: www.SMS.ac/u/bootydelious STOP? Kirim STOP FRND ke 62468
",-pls stop bootydelious 32 p undang teman ya-434 tidak-434 lihat www sms ac u bootydelious stop kirim stop frnd 62468,116,20
spam,"BangBabes Pesanan Anda sedang dikirim. Anda HARUS menerima Pesan Layanan 2 mengunduh konten Anda. Jika tidak, GoTo wap. bangb. tv di menu internet/layanan seluler Anda
",bangbabes pesan kirim terima pesan layan 2 unduh konten goto wap bangb tv menu internet layan seluler,101,17
ham,"Saya sudah menempatkan semua poin Anda pada modul e-culture.
",tempat poin modul e-culture,27,4
