Message,Category,Message_Length,Word_Count,Bahasa
"Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?
",ham,135,32,"Apakah kamu naik bus? Apakah kamu sedang menggoreng telur? Apakah kamu membuat teh? Apakah kamu memakan sisa makan malam ibumu? Apakah kamu merasakan cintaku?
"
"I'm back &amp; we're packing the car now, I'll let you know if there's room
",ham,76,15,"saya kembali &amp; kami sedang mengemasi mobilnya sekarang, saya akan memberi tahu Anda jika masih ada ruang
"
"Ahhh. Work. I vaguely remember that! What does it feel like? Lol
",ham,65,12,"Ahhh. Bekerja. Aku samar-samar mengingatnya! Seperti apa rasanya? Tertawa terbahak-bahak
"
"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us
",ham,131,26,"Tunggu, itu masih belum begitu jelas, apa kamu tidak yakin aku sedang menyindir atau itu sebabnya x tidak mau tinggal bersama kita
"
"Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? 
",ham,190,41,"Ya, dia masuk jam 2 dan sangat menyesal. n terjatuh dan dia bertingkah seperti anak manja dan dia terjebak di dalamnya. Sampai jam 2! Tapi kami tidak akan pergi ke sana! Tidak melakukan hal yang terlalu buruk, bersorak. Anda? 
"
"K tell me anything about you.
",ham,30,6,"Ceritakan padaku apa pun tentangmu.
"
"For fear of fainting with the of all that housework you just did? Quick have a cuppa
",ham,85,17,"Karena takut pingsan karena semua pekerjaan rumah yang baru saja Anda lakukan? Cepat minum secangkir teh
"
"Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
",spam,159,29,"Terima kasih telah berlangganan Ringtone UK, ponsel Anda akan dikenakan biaya £5/bulan. Harap konfirmasi dengan membalas YA atau TIDAK. Jika Anda menjawab TIDAK, Anda tidak akan dikenakan biaya
"
"Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am
",ham,123,28,"Yup... Oke, aku pulang, lihat waktunya, lalu aku kirim pesan lagi... Xuhui akan belajar pada tanggal 2 Mei juga, tetapi pelajarannya jam 8 pagi
"
"Oops, I'll let you know when my roommate's done
",ham,48,9,"Ups, aku akan memberitahumu kalau teman sekamarku sudah selesai
"
"I see the letter B on my car
",ham,29,8,"Saya melihat huruf B di mobil saya
"
"Anything lor... U decide...
",ham,28,4,"Apa pun untuk... Kamu putuskan...
"
"Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!
",ham,156,30,"Halo! Bagaimana kabarmu dan bagaimana hari Sabtunya? Aku baru saja mengirim pesan untuk mengetahui apakah kamu memutuskan melakukan sesuatu. Bukannya aku mencoba mengundang diriku sendiri atau apa pun!
"
"Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola
",ham,83,17,"Tolong lanjutkan dengan watt. Saya hanya ingin memastikan. Semoga akhir pekanmu menyenangkan. Abiola
"
"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy
",ham,143,34,"Apa aku lupa memberitahumu? Aku menginginkanmu, aku membutuhkanmu, aku mendambakanmu... Tapi yang terpenting... Aku mencintaimu, kuda Arabku yang manis... Mmmmmm... Enaknya
"
"07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow
",spam,173,33,"07732584351 - Rodger Burns - MSG = Kami mencoba menghubungi Anda untuk membalas sms kami untuk ponsel nokia gratis + camcorder gratis. Silakan hubungi sekarang 08000930705 untuk pengiriman besok
"
"WHO ARE YOU SEEING?
",ham,20,4,"SIAPA YANG KAMU LIHAT?
"
"Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...
",ham,73,13,"Besar! Saya harap Anda menyukai pria Anda yang diberkahi dengan baik. Saya &lt;#&gt;  inci...
"
"No calls..messages..missed calls
",ham,33,3,"Tidak ada panggilan..pesan..panggilan tak terjawab
"
"Didn't you get hep b immunisation in nigeria.
",ham,46,8,"Bukankah kamu sudah mendapat imunisasi hep b di nigeria.
"
"Fair enough, anything going on?
",ham,32,5,"Cukup adil, ada apa yang terjadi?
"
"Yeah hopefully, if tyler can't do it I could maybe ask around a bit
",ham,68,14,"Ya mudah-mudahan, jika tyler tidak bisa melakukannya, aku mungkin bisa bertanya-tanya sedikit
"
"U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.
",ham,149,30,"Kamu tidak tahu betapa keras kepala aku. Aku bahkan tidak ingin pergi ke rumah sakit. Aku terus mengatakan pada Mark bahwa aku bukanlah orang yang lemah. Rumah sakit diperuntukkan bagi mereka yang lemah.
"
"What you thinked about me. First time you saw me in class.
",ham,59,12,"Apa yang Anda pikirkan tentang saya. Pertama kali kamu melihatku di kelas.
"
"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;
",ham,125,23,"Satu gram biasanya berjalan seperti &lt;#&gt; , setengah seperdelapan lebih pintar dan memberi Anda hampir satu gram kedua untuk &lt;#&gt;
"
"K fyi x has a ride early tomorrow morning but he's crashing at our place tonight
",ham,81,16,"K fyi x ada tumpangan besok pagi tapi dia mogok di tempat kita malam ini
"
"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.
",ham,290,55,"Wow. Saya tidak pernah menyadari bahwa Anda begitu malu dengan akomodasi Anda. Saya pikir Anda menyukainya, karena saya telah melakukan yang terbaik yang saya bisa dan Anda selalu tampak sangat senang dengan ""gua"". Saya minta maaf karena saya tidak memberikannya dan tidak mempunyai lebih banyak lagi untuk diberikan. Maaf aku menawarkannya. Maaf kamarmu sangat memalukan.
"
"SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV
",spam,121,22,"SMS. ac Sptv: The New Jersey Devils dan Detroit Red Wings bermain Hoki Es. Benar atau Salah? Akhir? Jawab AKHIR SPTV
"
"Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;
",ham,77,13,"Tahukah Anda apa yang dilakukan Mallika Sherawat kemarin? Cari tahu sekarang @ &lt;URL&gt;
"
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! 
",spam,162,27,"Selamat! Tiket masuk bioskop spesial 1 tahun untuk 2 orang adalah milik Anda. hubungi 09061209465 sekarang! C Suprman V, Matrix3, StarWars3, dll semuanya GRATIS! bx420-ip4-5we. 150 malam. Jangan lewatkan! 
"
"Sorry, I'll call later in meeting.
",ham,35,6,"Maaf, saya akan menelepon nanti saat rapat.
"
"Tell where you reached
",ham,23,4,"Beritahu di mana Anda mencapainya
"
"Yes..gauti and sehwag out of odi series.
",ham,41,7,"Ya..gauti dan sehwag keluar dari seri odi.
"
"Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.
",ham,109,23,"Anda harus membeli burger seharga $1 untuk diri Anda sendiri dalam perjalanan pulang. Aku bahkan tidak bisa bergerak. Rasa sakit membunuhku.
"
"Ha ha ha good joke. Girls are situation seekers.
",ham,49,9,"Ha ha ha lelucon yang bagus. Anak perempuan adalah pencari situasi.
"
"Its a part of checking IQ
",ham,26,6,"Itu bagian dari pengecekan IQ
"
"Sorry my roommates took forever, it ok if I come by now?
",ham,57,12,"Maaf teman sekamarku butuh waktu lama, bolehkah aku datang sekarang?
"
"Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.
",ham,111,24,"Oke, aku periksa lagi apakah penata rambut sudah dia bilang akan potong pendek. Katanya akan dipotong sampai aku terlihat bagus.
"
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589
",spam,153,28,"Sebagai pelanggan yang berharga, saya dengan senang hati memberi tahu Anda bahwa setelah peninjauan terbaru terhadap Nomor Mob Anda, Anda akan diberikan Hadiah Bonus £1500, hubungi 09066364589
"
"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...
",ham,123,23,"Hari ini adalah ""hari dedikasi lagu.."" Lagu manakah yang akan kamu persembahkan untukku? Kirimkan ini ke semua temanmu yang berharga, tapi pertama-tama, balas aku...
"
"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ
",spam,160,22,"UR yang mendesak diberikan perjalanan gratis ke EuroDisinc Trav, Aco&Entry41 Atau £1000. Untuk mengklaim txt DIS ke 87121 18+6*£1,50(moreFrmMob.ShrAcomOrSglSuplt)10, LS1 3AJ
"
"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!
",spam,79,15,"Pernahkah Anda mendengar tentang ""Barbie Perceraian"" yang baru? Itu datang dengan semua barang Ken!
"
"I plane to give on this month end.
",ham,35,8,"Saya berencana untuk memberi pada akhir bulan ini.
"
"Wah lucky man... Then can save money... Hee...
",ham,47,8,"Wah beruntungnya kawan... Nanti bisa hemat... Hee...
"
"Finished class where are you.
",ham,30,5,"Selesai kelas dimana kamu.
"
"HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX
",ham,46,10,"HI SAYANG AKU DI RUMAH SEKARANG INGIN MELAKUKAN SESUATU? XX
"
"K..k:)where are you?how did you performed?
",ham,43,6,"K..k :) dimana kamu? bagaimana penampilanmu?
"
"U can call me now...
",ham,21,5,"Kamu bisa meneleponku sekarang...
"
"I am waiting machan. Call me once you free.
",ham,44,9,"aku menunggu Machan. Hubungi saya setelah Anda bebas.
"
"Thats cool. i am a gentleman and will treat you with dignity and respect.
",ham,74,14,"Itu keren. saya seorang pria terhormat dan akan memperlakukan Anda dengan bermartabat dan hormat.
"
"I like you peoples very much:) but am very shy pa.
",ham,51,11,"Aku sangat menyukai kalian :) tapi aku sangat pemalu pa.
"
"Does not operate after  &lt;#&gt;  or what
",ham,43,7,"Tidak beroperasi setelah &lt;#&gt;  atau apa
"
"Its not the same here. Still looking for a job. How much do Ta's earn there.
",ham,77,16,"Ini tidak sama di sini. Masih mencari pekerjaan. Berapa penghasilan Ta di sana.
"
"Sorry, I'll call later
",ham,23,4,"Maaf, saya akan menelepon lagi nanti
"
"K. Did you call me just now ah? 
",ham,33,8,"K. Apakah kamu baru saja meneleponku ah? 
"
"Ok i am on the way to home hi hi
",ham,33,10,"Oke, aku sedang dalam perjalanan pulang, hai, hai
"
"You will be in the place of that man
",ham,37,9,"Anda akan berada di tempat pria itu
"
"Yup next stop.
",ham,15,3,"Yup perhentian berikutnya.
"
"I call you later, don't have network. If urgnt, sms me.
",ham,56,11,"Saya menelepon Anda nanti, tidak memiliki jaringan. Jika mendesak, sms saya.
"
"For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.
",ham,122,26,"Sebenarnya kapan kamu mendekatimu? Saya hanya perlu 2 tiket lagi dan satu jaket lagi dan selesai. Saya sudah menggunakan semua multis saya.
"
"Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.
",ham,145,31,"Ya, saya mulai mengirim permintaan untuk melakukannya tetapi rasa sakit kembali muncul jadi saya kembali ke tempat tidur. Koin ganda di pabrik juga. Aku harus menguangkan semua nitroku.
"
"I'm really not up to it still tonight babe
",ham,43,9,"Aku benar-benar belum sanggup melakukannya malam ini sayang
"
"Ela kano.,il download, come wen ur free..
",ham,42,7,"Ela kano., atau unduh, ayo gratis..
"
"Yeah do! Don‘t stand to close tho- you‘ll catch something!
",ham,59,10,"Ya, lakukan! Jangan berdiri untuk menutupnya- kamu akan menangkap sesuatu!
"
"Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. 
",ham,196,39,"Maaf merepotkan. Bolehkah kita bertemu satu malam lagi? Aku menghabiskan sore hari sebagai korban dan itu berarti aku belum melakukan hal apa pun dan itu termasuk semua lembar waktuku dan itu. Maaf. 
"
"Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
",ham,142,26,"Tersenyumlah dalam Kesenangan Tersenyumlah dalam Kepedihan Tersenyumlah ketika masalah datang seperti Hujan Tersenyumlah ketika jumlah1 Menyakitimu Tersenyumlah karena SESEORANG masih Senang melihatmu Tersenyum!!
"
"Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!
",spam,138,23,"Silakan hubungi perwakilan layanan pelanggan kami di 0800 169 6031 antara pukul 10.00-21.00 karena Anda telah MENANGKAN jaminan uang tunai £1000 atau hadiah £5000!
"
"Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?
",ham,108,20,"Belum berencana untuk membeli nanti. Saya periksa sudah lido hanya mendapat 530 pertunjukan di sore hari. Kamu sudah selesai bekerja?
"
"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16
",spam,159,29,"Nada dering gratis Anda menunggu untuk dikumpulkan. Cukup kirimkan kata sandi ""MIX"" ke 85069 untuk memverifikasi. Hubungi Usher dan Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16
"
"Watching telugu movie..wat abt u?
",ham,34,5,"Menonton film telugu..apa tentang kamu?
"
"i see. When we finish we have loads of loans to pay
",ham,52,12,"jadi begitu. Ketika kami selesai, kami memiliki banyak pinjaman yang harus dibayar
"
"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""
",ham,179,38,"Hai. Apa baik-baik saja - selamat tinggal sekarang! Ya, untuk berlari sebentar. Lupa kalau aku ada janji penata rambut jam empat jadi harus pulang dan mandi terlebih dahulu. Apakah itu menimbulkan masalah bagimu?""
"
"I see a cup of coffee animation
",ham,32,7,"Saya melihat animasi secangkir kopi
"
"Please don't text me anymore. I have nothing else to say.
",ham,58,11,"Tolong jangan kirimi aku pesan lagi. Saya tidak punya hal lain untuk dikatakan.
"
"Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx
",ham,82,21,"Oke sebutkan harganya asalkan legal! Bisakah aku mengambilnya? Kamu sudah x ams xx
"
"I'm still looking for a car to buy. And have not gone 4the driving test yet.
",ham,77,16,"Saya masih mencari mobil untuk dibeli. Dan belum mengikuti tes mengemudi.
"
"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.
",ham,184,36,"Wow. Anda benar! Saya tidak bermaksud melakukan itu. Saya kira begitu saya menyerah pada boston men dan mengubah lokasi pencarian saya ke nyc, sesuatu berubah. Karena di halaman masuk saya masih tertulis boston.
"
"Umma my life and vava umma love you lot dear
",ham,45,10,"Umma hidupku dan vava umma sangat mencintaimu sayang
"
"Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.
",ham,96,17,"Terima kasih banyak atas ucapanmu di hari ulang tahunku. Terima kasih telah membuat ulang tahunku benar-benar berkesan.
"
"Aight, I'll hit you up when I get some cash
",ham,44,10,"Baiklah, aku akan menghubungimu ketika aku mendapat uang tunai
"
"How would my ip address test that considering my computer isn't a minecraft server
",ham,83,14,"Bagaimana alamat ip saya mengujinya mengingat komputer saya bukan server minecraft
"
"I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...
",ham,116,24,"Aku tahu! Orang tua yang pemarah. Ibuku bilang sebaiknya kamu tidak berbohong. Lagipula akulah yang selalu bercanda...
"
"Dont worry. I guess he's busy.
",ham,31,6,"Jangan khawatir. Kurasa dia sedang sibuk.
"
"What is the plural of the noun research?
",ham,41,8,"Apa bentuk jamak dari kata benda penelitian?
"
"Going for dinner.msg you after.
",ham,32,5,"Pergi makan malam, kirim pesan padamu setelahnya.
"
"I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.
",ham,97,24,"Aku baik-baik saja karena aku suka mencoba hal-hal baru. Tapi aku membuatmu takut, tidak seperti Mah. Karena kamu bilang jangan terlalu keras.
"
"GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm
",spam,159,27,"GENT! Kami mencoba menghubungi Anda. Pengundian akhir pekan lalu menunjukkan bahwa Anda memenangkan hadiah £1000 DIJAMIN. Hubungi 09064012160. Kode Klaim K52. Hanya berlaku 12 jam. 150ppm
"
"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?
",ham,144,24,"Wa, kalimat pembukamu sangat formal... Pokoknya, aku juga baik-baik saja, tapi aku makan terlalu banyak dan menambah berat badan...Haha... Jadi, ada hal istimewa yang terjadi?
"
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.
",ham,157,32,"Saat saya memasuki kabin, PA saya berkata, ''Selamat Ulang Tahun Bos!!''. Saya merasa istimewa. Dia mengajakku makan siang jam 4. Setelah makan siang dia mengundang saya ke apartemennya. Kami pergi ke sana.
"
"You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) 
",spam,153,27,"Anda adalah pemenang Anda telah dipilih secara khusus 2 menerima £1000 atau liburan 4* (penerbangan inc) berbicara dengan operator langsung 2 klaim 0871277810910p/mnt (18+) 
"
"Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! 
",ham,73,12,"Bagus! Ya, kita harus berbicara pada hari Jumat - diperlukan rasio telur-kentang untuk tortilla! 
"
"Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.
",ham,87,15,"Hmm...pamanku baru saja memberitahuku bahwa dia membayar biaya sekolah secara langsung. Jadi tolong beli makanan.
"
"PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
",spam,145,20,"PRIBADI! Laporan Rekening Anda tahun 2004 untuk 07742676969 menunjukkan 786 Poin Bonus yang belum ditukarkan. Untuk klaim hubungi 08719180248 Kode Pengenal : 45239 Kedaluwarsa
"
"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM
",spam,157,26,"MENDESAK! Nomor Ponsel Anda dianugerahi Hadiah Bonus Penelepon £2000 pada 5/9/03 Ini adalah upaya terakhir kami untuk menghubungi Anda! Telepon dari Telepon Rumah 09064019788 BOX42WR29C, 150PPM
"
"here is my new address -apples&pairs&all that malarky
",ham,54,8,"ini alamat baruku -apel&pasangan&semua omong kosong itu
"
"Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app
",spam,157,27,"Nomor Voda hari ini yang berakhiran 7548 dipilih untuk menerima penghargaan $350. Jika Anda memiliki kecocokan silakan hubungi 08712300220 dengan mengutip kode klaim 4041 tarif standar aplikasi
"
"I am going to sao mu today. Will be done only at 12 
",ham,53,13,"Saya akan ke sao mu hari ini. Hanya akan dilakukan pada jam 12 
"
"Ü predict wat time ü'll finish buying?
",ham,39,7,"Ü memperkirakan jam berapa ü akan selesai membeli?
"
"Good stuff, will do.
",ham,21,4,"Barang bagus, cukup.
"
"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.
",ham,245,46,"Asal tahu saja, yetunde belum mengirimkan uang. Aku baru saja mengiriminya SMS agar tidak perlu repot mengirimnya. Jadi sudah berakhir, Anda tidak perlu melibatkan diri dalam hal apa pun. Seharusnya aku tidak memaksakan apa pun padamu sejak awal, jadi untuk itu, aku minta maaf.
"
"Are you there in room.
",ham,23,5,"Apakah kamu di sana, di kamar.
"
"HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx
",ham,108,27,"HEI GADIS. BAGAIMANA KAMU? HARAPAN KAMU BAIK AKU DAN DEL R BAK! LAGI LAMA WAKTU TIDAK C! BERIKAN SAYA WAKTU PANGGILAN DARI LUCYxx
"
"K..k:)how much does it cost?
",ham,29,5,"K..k :) berapa biayanya?
"
"I'm home.
",ham,10,2,"saya pulang.
"
"Dear, will call Tmorrow.pls accomodate.
",ham,40,5,"Sayang, aku akan menghubungi Tmorrow.pls untuk mengakomodasi.
"
"First answer my question.
",ham,26,4,"Jawab dulu pertanyaanku.
"
"Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone
",spam,126,25,"Kuis Sinar Matahari Mingguan Q! Menangkan pemutar DVD Sony terbaik jika Anda tahu di negara mana Algarve berada? Kirim SMS ke 82277. £1,50 SP: Tyrone
"
